Sanskrit,English,Type,Benefits
Utthita Parsvakonasana,Extended Side Angle Pose,"Standing,Strengthening,","['Back Pain', 'Digestion', 'Fitness', 'Infertility', 'Menstruation', 'Osteoporosis', 'Sciatica', 'Weight Loss']"
Utthita Trikonasana,Extended Triangle Pose,"Standing,Strengthening,","['Anxiety', 'Back Pain', 'Digestion', 'Flat Feet', 'Flexibility', 'Infertility', 'Menopause', 'Neck Pain', 'Osteoporosis', 'Pregnancy', 'Sciatica']"
Pincha Mayurasana,Feathered Peacock Pose,"Inversion,Strengthening,","['Depression', 'Stress']"
Agnistambhasana,Fire Log Pose,"Hip Opening,Seated,","['Back Pain', 'Depression', 'Flexibility', 'Headaches', 'Insomnia', 'Sciatica', 'Stress']"
Tittibhasana,Firefly Pose,"Arm Balance,",[]
Matsyasana,Fish Pose,"Chest Opening,Yoga Backbends","['Anxiety', 'Asthma', 'Back Pain', 'Digestion', 'Fatigue', 'Menstruation']"
Chaturanga Dandasana,Four-Limbed Staff Pose,"Arm Balance,Core,Strengthening,","['Fitness', 'Weight Loss']"
Malasana,Garland Pose,"Standing,",['Flexibility']
Parighasana,Gate Pose,"Standing,",[]
Ardha Bhekasana,Half Frog Pose,"Chest Opening,Yoga Backbends","['Flat Feet', 'Flexibility']"
Ardha Matsyendrasana,Half Lord of the Fishes Pose,"Hip Opening,Seated,Twist,","['Asthma', 'Back Pain', 'Digestion', 'Energy', 'Fatigue', 'Infertility', 'Menstruation', 'Sciatica']"
Ardha Chandrasana,Half Moon Pose,"Balancing,Standing,","['Anxiety', 'Back Pain', 'Digestion', 'Fatigue', 'Menstruation', 'Osteoporosis', 'Sciatica']"
Adho Mukha Vrksasana,Handstand,"Balancing,Inversion,Strengthening,","['Depression', 'Stress']"
Ananda Balasana ,Happy Baby Pose,"Core,","['Fatigue', 'Stress']"
Janu Sirsasana,Head-to-Knee Forward Bend,"Forward Bend,Seated,","['Anxiety', 'Calm', 'Digestion', 'Fatigue', 'Flexibility', 'Headaches', 'High Blood Pressure', 'Insomnia', 'Menopause', 'Menstruation', 'Pregnancy', 'Sinusitis']"
Virasana,Hero Pose,"Seated,","['Asthma', 'Digestion', 'High Blood Pressure', 'Menopause']"
Krounchasana,Heron Pose,"Seated,","['Digestion', 'Flat Feet']"
Utthita Ashwa Sanchalanasana,High Lunge,"Standing,","['Digestion', 'Sciatica']"
Alanasana,High Lunge Crescent Variation,"Standing,",['Sciatica']
Parsvottanasana,Intense Side Stretch Pose,"Forward Bend,Standing,","['Digestion', 'Flat Feet', 'Flexibility']"
Viparita Karani,Legs-Up-the-Wall Pose,"Restorative,","['Anxiety', 'Asthma', 'Back Pain', 'Calm', 'Depression', 'Digestion', 'Headaches', 'High Blood Pressure', 'Insomnia', 'Menopause', 'Menstruation']"
Salabhasana,Locust Pose,"Chest Opening,Strengthening,Yoga Backbends","['Back Pain', 'Digestion', 'Fatigue', 'Fitness']"
Natarajasana,Lord of the Dance Pose,"Balancing,Chest Opening,Standing,Yoga Backbends","['Energy', 'Flexibility']"
Padmasana,Lotus Pose,"Seated,","['Menstruation', 'Pregnancy', 'Sciatica', 'Stress']"
Anjaneyasana ,Low Lunge,"Standing,",['Sciatica']
Marichyasana III,Marichi’s Pose,"Hip Opening,Seated,Twist,",[]
Hanumanasana,Monkey Pose,"Seated,",['Sciatica']
Tadasana,Mountain Pose,"Standing,","['Flat Feet', 'Sciatica']"
Pasasana,Noose Pose,"Binding,Hip Opening,Strengthening,Twist,","['Asthma', 'Digestion', 'Flexibility', 'Menstruation', 'Sciatica']"
Eka Pada Rajakapotasana,One-Legged King Pigeon Pose,"Hip Opening,Yoga Backbends","['Energy', 'Flexibility']"
Eka Pada Rajakapotasana II ,One-Legged King Pigeon Pose II,Yoga Backbends,['Flexibility']
Mayurasana,Peacock Pose,"Arm Balance,",[]
Kapotasana,Pigeon Pose,Yoga Backbends,[]
Vasisthasana,Plank Pose,"Arm Balance,Core,Strengthening,",['Fitness']
Halasana,Plow Pose,"Inversion,","['Back Pain', 'Fatigue', 'Headaches', 'Infertility', 'Insomnia', 'Menopause', 'Sinusitis', 'Stress']"
Eka Pada Koundinyanasana I,Pose Dedicated to the Sage Koundinya I,"Arm Balance,Twist,",[]
Eka Pada Koundinyanasana II,Pose Dedicated to the Sage Koundinya II,"Arm Balance,",[]
Marichyasana I,Pose Dedicated to the Sage Marichi I,"Binding,Forward Bend,Hip Opening,Seated,","['Digestion', 'Flexibility', 'Weight Loss']"
Supta Baddha Konasana,Reclining Bound Angle Pose,"Hip Opening,Restorative,","['Calm', 'Depression', 'Menopause', 'Menstruation']"
Supta Padangusthasana,Reclining Hand-to-Big-Toe Pose,"Restorative,","['Back Pain', 'Calm', 'Digestion', 'Flat Feet', 'Flexibility', 'High Blood Pressure', 'Infertility', 'Menstruation', 'Sciatica']"
Supta Virasana,Reclining Hero Pose,"Restorative,","['Asthma', 'Calm', 'Digestion', 'Flat Feet', 'Flexibility', 'Headaches', 'High Blood Pressure', 'Insomnia', 'Menstruation', 'Sciatica', 'Sinusitis']"
Parivrtta Janu Sirsasana ,Revolved Head-to-Knee Pose,"Seated,Twist,","['Anxiety', 'Back Pain', 'Fatigue', 'Headaches', 'Insomnia']"
Parivrtta Parsvakonasana,Revolved Side Angle Pose,"Standing,Strengthening,Twist,","['Back Pain', 'Fitness', 'Infertility', 'Osteoporosis', 'Sciatica']"
Parivrtta Trikonasana,Revolved Triangle Pose,"Standing,Strengthening,Twist,","['Asthma', 'Back Pain', 'Fitness', 'Flexibility', 'Sciatica']"
Tolasana,Scale Pose,"Arm Balance,Core,",[]
Paschimottanasana,Seated Forward Bend,"Forward Bend,Seated,","['Anxiety', 'Calm', 'Depression', 'Fatigue', 'Flexibility', 'Headaches', 'High Blood Pressure', 'Infertility', 'Insomnia', 'Menopause', 'Menstruation', 'Sinusitis', 'Stress', 'Weight Loss']"
Bhujapidasana,Shoulder-Pressing Pose,"Arm Balance,",[]
Parsva Bakasana,Side Crane (Crow) Pose,"Arm Balance,",[]
Vasisthasana,Side Plank Pose,"Arm Balance,Balancing,Core,",[]
Anantasana,Side-Reclining Leg Lift,"Balancing,Core,",['Flexibility']
Salamba Bhujangasana,Sphinx Pose,"Chest Opening,Yoga Backbends","['Asthma', 'Energy', 'Fatigue']"
Dandasana,Staff Pose,"Seated,",['Anxiety']
Uttanasana,Standing Forward Bend,"Forward Bend,","['Anxiety', 'Asthma', 'Calm', 'Depression', 'Fatigue', 'Flexibility', 'High Blood Pressure', 'Infertility', 'Insomnia', 'Menopause', 'Osteoporosis', 'Sinusitis', 'Stress']"
Ardha Uttanasana ,Standing Half Forward Bend,"Forward Bend,Standing,",['Calm']
Urdhva Prasarita Eka Padasana,Standing Split,"Forward Bend,Standing,",[]
Salamba Sirsasana,Supported Headstand,"Balancing,Inversion,","['Asthma', 'Depression', 'Infertility', 'Insomnia', 'Menopause', 'Sinusitis', 'Stress']"
Salamba Sarvangasana,Supported Shoulderstand,"Balancing,Inversion,","['Asthma', 'Depression', 'Fatigue', 'Infertility', 'Insomnia', 'Menopause', 'Sinusitis', 'Stress']"
Vrksasana,Tree Pose,"Balancing,Standing,",['Flat Feet']
Urdhva Dhanurasana,Upward Bow (Wheel) Pose,"Chest Opening,Strengthening,Yoga Backbends","['Asthma', 'Depression', 'Energy', 'Fitness', 'Infertility', 'Osteoporosis']"
Dwi Pada Viparita Dandasana,Upward Facing Two-Foot Staff Pose,"Chest Opening,Yoga Backbends",[]
Purvottanasana,Upward Plank Pose,"Strengthening,","['Fatigue', 'Weight Loss']"
Urdhva Hastasana ,Upward Salute,"Standing,","['Anxiety', 'Fatigue']"
Urdhva Mukha Svanasana,Upward-Facing Dog Pose,"Chest Opening,Yoga Backbends","['Depression', 'Energy', 'Fitness', 'Weight Loss']"
Virabhadrasana I,Warrior I Pose,"Standing,Strengthening,",['Fitness']
Virabhadrasana II,Warrior II Pose,"Standing,Strengthening,","['CarpalTunnel Syndrome', 'Fitness', 'Flat Feet', 'Infertility', 'Osteoporosis', 'Pregnancy', 'Weight Loss']"
Virabhadrasana III,Warrior III Pose,"Balancing,Standing,Strengthening,",['Fitness']
Upavistha Konasana,Wide-Angle Seated Forward Bend,"Forward Bend,Hip Opening,Seated,",[]
Prasarita Padottanasana,Wide-Legged Forward Bend,"Forward Bend,Hip Opening,Standing,Strengthening,","['Calm', 'Depression', 'Headaches']"
Camatkarasana,Wild Thing,"Arm Balance,Chest Opening,",['Depression']
